Level | File                                    | Message
====================================================================================================
Msg   | src/boomerang/util/log/Log.cpp          | This is Boomerang v0.3.99-alpha-1914-ged7a3e1
Msg   | src/boomerang/util/log/Log.cpp          | Log initialized.
Msg   | src/boomerang/core/Project.cpp          | Loading plugins...
Msg   | src/boomerang/core/Project.cpp          | Loaded plugins:
Msg   | src/boomerang/core/Project.cpp          |   DOS4GW loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   ELF32 loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   DOS Exe loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   HP SOM loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Mach-O executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Palm OS executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Win32 PE loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          | Loading binary file 'from_boomerang/daysofxmas/sparc_elf_from_boomerang/subject.exe'
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled SPARC relocation type 20
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled SPARC relocation type 20
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled SPARC relocation type 20
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled SPARC relocation type 19
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled SPARC relocation type 19
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled SPARC relocation type 21
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled SPARC relocation type 21
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled SPARC relocation type 21
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled SPARC relocation type 21
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled SPARC relocation type 21
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled SPARC relocation type 21
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled SPARC relocation type 21
Msg   | src/boomerang/ssl/RTLInstDict.cpp       | Loading machine specifications from 'BOOMERANGSRCDIR/build/out/share/boomerang/ssl/sparc.ssl'...
Msg   | src/boomerang/db/Prog.cpp               | Reading library signatures...
Msg   | src/boomerang/core/Project.cpp          | Decoding entry point...
Msg   | src/boomerang/frontend/DefaultFrontEnd. | Starting decode at address 0x000106a8
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function '__flsbuf', please update signatures!
Msg   | src/boomerang/core/Project.cpp          | Decoding anything undecoded...
Msg   | src/boomerang/frontend/DefaultFrontEnd. | Looking for undecoded procedures to decode...
Msg   | src/boomerang/core/Project.cpp          | Found 1 procs
Msg   | src/boomerang-cli/CommandlineDriver.cpp | Decompiling...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp | Decompiling entry point 'main'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'main'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Performing recursion group analysis for 1 recursive procedures: 
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |     main
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Finished decompile of 'main'
Msg   | src/boomerang/decomp/ProgDecompiler.cpp | Performing global type analysis...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp | Removing unused returns...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp | Performing global type analysis...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp | Transforming from SSA form...
Warn  | src/boomerang/visitor/stmtmodifier/Stmt | Forcing type of local 'o0' from 'int' to 'void' due to library constraints
Warn  | src/boomerang/visitor/stmtmodifier/Stmt | Forcing type of local 'o1' from 'char *[] *' to 'void' due to library constraints
Error | src/boomerang/visitor/expmodifier/ExpSS | Could not find local or parameter for r10{61}!!
Error | src/boomerang/visitor/expmodifier/ExpSS | Could not find local or parameter for r11{61}!!
Error | src/boomerang/visitor/expmodifier/ExpSS | Could not find local or parameter for r12{61}!!
Error | src/boomerang/visitor/expmodifier/ExpSS | Could not find local or parameter for r13{61}!!
Error | src/boomerang/visitor/expmodifier/ExpSS | Could not find local or parameter for r14{61}!!
Error | src/boomerang/visitor/expmodifier/ExpSS | Could not find local or parameter for r15{61}!!
Msg   | src/boomerang/decomp/ProgDecompiler.cpp | Removing unused global variables...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp | Decompilation finished.
Msg   | src/boomerang/core/Project.cpp          | Generating code...
Msg   | src/boomerang-cli/CommandlineDriver.cpp | Output written to '_output'
Msg   | src/boomerang-cli/CommandlineDriver.cpp | Completed in some time
