Level | File                                    | Message
====================================================================================================
Msg   | src/boomerang/util/log/Log.cpp          | This is Boomerang v0.3.99-alpha-1914-ged7a3e1
Msg   | src/boomerang/util/log/Log.cpp          | Log initialized.
Msg   | src/boomerang/core/Project.cpp          | Loading plugins...
Msg   | src/boomerang/core/Project.cpp          | Loaded plugins:
Msg   | src/boomerang/core/Project.cpp          |   DOS4GW loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   ELF32 loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   DOS Exe loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   HP SOM loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Mach-O executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Palm OS executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Win32 PE loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          | Loading binary file 'from_holdec/dmi/fcalls/ia32_elf/subject.exe'
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad | Unhandled x86 relocation type 5
Msg   | src/boomerang/ssl/RTLInstDict.cpp       | Loading machine specifications from 'BOOMERANGSRCDIR/build/out/share/boomerang/ssl/pentium.ssl'...
Msg   | src/boomerang/db/Prog.cpp               | Reading library signatures...
Msg   | src/boomerang/core/Project.cpp          | Decoding entry point...
Msg   | src/boomerang/frontend/DefaultFrontEnd. | Starting decode at address 0x08048420
Msg   | src/boomerang/core/Project.cpp          | Decoding anything undecoded...
Msg   | src/boomerang/frontend/DefaultFrontEnd. | Looking for undecoded procedures to decode...
Msg   | src/boomerang/core/Project.cpp          | Found 25 procs
Msg   | src/boomerang-cli/CommandlineDriver.cpp | Decompiling...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp | Decompiling entry point 'main'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'main'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'basic_1_multiple_calling_conventions_3_ints'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'sum3_cdecl'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Decompiling procedure 'sum3_cdecl'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Finished decompile of 'sum3_cdecl'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'sum3_fastcall'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Decompiling procedure 'sum3_fastcall'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Finished decompile of 'sum3_fastcall'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'sum3_thiscall'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Decompiling procedure 'sum3_thiscall'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Finished decompile of 'sum3_thiscall'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'sum3_ms_abi'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Decompiling procedure 'sum3_ms_abi'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Finished decompile of 'sum3_ms_abi'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'sum3_sysv_abi'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Decompiling procedure 'sum3_sysv_abi'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Finished decompile of 'sum3_sysv_abi'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'sum3_stdcall'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Decompiling procedure 'sum3_stdcall'
