Level | File                                    | Message
====================================================================================================
Msg   | src/boomerang/util/log/Log.cpp          | This is Boomerang v0.3.99-alpha-1914-ged7a3e1
Msg   | src/boomerang/util/log/Log.cpp          | Log initialized.
Msg   | src/boomerang/core/Project.cpp          | Loading plugins...
Msg   | src/boomerang/core/Project.cpp          | Loaded plugins:
Msg   | src/boomerang/core/Project.cpp          |   DOS4GW loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   ELF32 loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   DOS Exe loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   HP SOM loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Mach-O executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Palm OS executable loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   Win32 PE loader plugin v0.3.99-alpha-1914-ged7a3e1 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          | Loading binary file 'from_snowman/other-008-restarter/ia32_pe/subject.exe'
Msg   | src/boomerang/ssl/RTLInstDict.cpp       | Loading machine specifications from 'BOOMERANGSRCDIR/build/out/share/boomerang/ssl/pentium.ssl'...
Msg   | src/boomerang/db/Prog.cpp               | Reading library signatures...
Msg   | src/boomerang/core/Project.cpp          | Decoding entry point...
Warn  | src/boomerang/frontend/pentium/PentiumF | main function not found, falling back to entry point
Msg   | src/boomerang/frontend/DefaultFrontEnd. | Starting decode at address 0x00401130
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'CommandLineToArgvW', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'OpenProcess', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'TerminateProcess', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'MoveFileW', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'CreateProcessW', please update signatures!
Warn  | src/boomerang/frontend/pentium/PentiumF | main function not found, falling back to entry point
Msg   | src/boomerang/core/Project.cpp          | Decoding anything undecoded...
Msg   | src/boomerang/frontend/DefaultFrontEnd. | Looking for undecoded procedures to decode...
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'FormatMessageW', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'wsprintfW', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'SetFileAttributesW', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'DeleteFileW', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'FindFirstFileW', please update signatures!
Warn  | src/boomerang/db/Prog.cpp               | Unknown library function 'FindClose', please update signatures!
Msg   | src/boomerang/core/Project.cpp          | Found 3 procs
Msg   | src/boomerang-cli/CommandlineDriver.cpp | Decompiling...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp | Decompiling entry point '_start'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure '_start'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'proc_0x00401000'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Decompiling procedure 'proc_0x00401000'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Finished decompile of 'proc_0x00401000'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Visiting procedure 'proc_0x004010a0'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Decompiling procedure 'proc_0x004010a0'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Finished decompile of 'proc_0x004010a0'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp | Decompiling procedure '_start'
