Level | File                                    | Line | Message
====================================================================================================
Msg   | src/boomerang/util/log/Log.cpp          |  150 | This is Boomerang v0.3.99-alpha-1757-gd6a5867
Msg   | src/boomerang/util/log/Log.cpp          |  151 | Log initialized.
Msg   | src/boomerang/core/Project.cpp          |  321 | Loading plugins...
Msg   | src/boomerang/core/Project.cpp          |  350 | Loaded plugins:
Msg   | src/boomerang/core/Project.cpp          |  353 |   DOS4GW loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   ELF32 loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   DOS Exe loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   HP SOM loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   Mach-O executable loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   Palm OS executable loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |  353 |   Win32 PE loader plugin v0.3.99-alpha-1757-gd6a5867 (by 'Boomerang developers')
Msg   | src/boomerang/core/Project.cpp          |   98 | Loading binary file 'from_snowman/other-039_cyclic/ia32_elf/subject.exe'
Warn  | src/boomerang-loaders/elf/ElfBinaryLoad |  521 | Skipping symbol _start with unknown location
Msg   | src/boomerang/core/Project.cpp          |  292 | Decoding entry point...
Warn  | src/boomerang/db/binary/BinaryImage.cpp |   44 | Invalid read at address 0x080481ca: Address is not mapped to a section
Error | src/boomerang/frontend/DefaultFrontEnd. |  777 | Attempted to decode outside any known section at address 0x080481ca
Warn  | src/boomerang/frontend/pentium/PentiumF |  505 | main function not found, falling back to entry point
Msg   | src/boomerang/frontend/DefaultFrontEnd. |  133 | Starting decode at address 0x080480d8
Warn  | src/boomerang/db/binary/BinaryImage.cpp |   44 | Invalid read at address 0x080481ca: Address is not mapped to a section
Error | src/boomerang/frontend/DefaultFrontEnd. |  777 | Attempted to decode outside any known section at address 0x080481ca
Warn  | src/boomerang/frontend/pentium/PentiumF |  505 | main function not found, falling back to entry point
Msg   | src/boomerang/core/Project.cpp          |  308 | Decoding anything undecoded...
Msg   | src/boomerang/frontend/DefaultFrontEnd. |  156 | Looking for undecoded procedures to decode...
Msg   | src/boomerang/core/Project.cpp          |  184 | Found 3 procs
Msg   | src/boomerang-cli/CommandlineDriver.cpp |  450 | Decompiling...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |   38 | Decompiling entry point 'g'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |   94 | Visiting procedure 'g'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |  205 | Decompiling procedure 'g'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |  242 | Finished decompile of 'g'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |   94 | Visiting procedure 'h'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |  205 | Decompiling procedure 'h'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |  242 | Finished decompile of 'h'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |   94 | Visiting procedure 'f'
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |  667 | Performing recursion group analysis for 1 recursive procedures: 
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |  669 |     f
Msg   | src/boomerang/decomp/ProcDecompiler.cpp |  242 | Finished decompile of 'f'
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |   98 | Performing global type analysis...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |  191 | Removing unused returns...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |   98 | Performing global type analysis...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |  198 | Transforming from SSA form...
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for r28{0}!!
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for r29{0}!!
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for r28{0}!!
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for r29{0}!!
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for r28{0}!!
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for r29{0}!!
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for r28{0}!!
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for r29{0}!!
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for tmp1{0}!!
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for %flags{0}!!
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for %ZF{0}!!
Error | src/boomerang/visitor/expmodifier/ExpSS |   33 | Could not find local or parameter for %CF{0}!!
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |  127 | Removing unused global variables...
Msg   | src/boomerang/decomp/ProgDecompiler.cpp |   92 | Decompilation finished.
Msg   | src/boomerang/core/Project.cpp          |  227 | Generating code...
Msg   | src/boomerang-cli/CommandlineDriver.cpp |  460 | Output written to '_output'
Msg   | src/boomerang-cli/CommandlineDriver.cpp |  468 | Completed in some time
